,verb,translation,english_pos
452,tonen,show,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
453,bijklussen,side jobs,[]
454,benutten,utilize,"['v', 'v']"
455,streven,to strive,[]
456,overwegen,to consider,[]
457,nemen,take,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
458,kijven,argue,"['v', 'v', 'v']"
459,zien,see,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
460,verifiëren,Verify,"['v', 'v', 'v', 'v']"
461,overtreffen,surpass,"['v', 'v', 'v', 'v']"
462,waren,goods,"['n', 'n', 'n', 'n']"
463,regisseren,directing,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's']"
464,benijden,envy,"['n', 'n', 'v', 'v']"
465,uitzonden,broadcast,"['n', 'n', 'v', 'v', 'v']"
466,liefhebben,to love,[]
467,knielen,kneel down,[]
468,omvallen,topple,"['v', 'v']"
469,neerploffen,plop down,[]
470,vliegen,fly,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's']"
471,liquideren,liquidate,"['v', 'v', 'v', 'v']"
472,vastnagelen,nail down,[]
473,verfijnen,refine,"['v', 'v', 'v', 'v', 'v', 'v']"
474,rondrennen,running around,[]
475,afbekken,cut off,[]
476,goedkeuren,to approve,[]
477,uittreden,resign,"['v', 'v', 'v', 'v']"
478,zwijgen,keep silent,[]
479,hordelopen,hurdles,"['n', 'n', 'n', 'n', 'v']"
480,ren,run,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
481,gevangenisleven,prison life,[]
482,onderscheppen,intercept,"['n', 'v', 'v']"
483,verontrusten,worry,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
484,schoppen,kicking,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
485,vergoelijken,whitewash,"['n', 'n', 'n', 'v', 'v', 'v']"
486,snikken,sobs,"['n', 'n', 'n', 'v']"
487,regeren,to govern,[]
488,gelijkspelen,tie,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
489,terugschrikken,shy away,[]
490,afslanken,slimming,[]
491,beetnemen,trick,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v']"
492,wijzigen,modify,"['v', 'v', 'v']"
493,binnenslepen,drag in,[]
494,doorspoelen,flush,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's', 's', 'r', 'r']"
495,knoeien,to mess,[]
496,trillen,vibrate,"['v', 'v', 'v', 'v', 'v']"
497,verkiezen,prefer,"['v', 'v', 'v', 'v']"
498,opleveren,yield,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
499,kleineren,belittling,"['n', 'n', 'v', 'v', 'v', 's']"
500,gevoelen,feeling,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
501,verslechteren,deteriorate,"['v', 'v']"
502,samenzweren,conspire,"['v', 'v']"
503,traceren,trace,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
504,werken,to work,[]
505,coachen,coaching,"['n', 'v', 'v']"
506,lellen,wattles,"['n', 'n', 'n', 'v', 'v']"
507,prevelen,mutter,"['n', 'n', 'v', 'v']"
508,knuffelen,cuddle,"['n', 'v', 'v']"
509,handenwringen,hands wringing,[]
510,barricaderen,barricading,"['v', 'v', 'v']"
511,ontspruiten,sprout,"['n', 'n', 'v', 'v']"
512,ontdoen,discard,"['n', 'n', 'n', 'v']"
513,uitschakelen,Switch off,[]
514,aanmodderen,muddle through,[]
515,kruisigen,crucify,"['v', 'v', 'v', 'v']"
516,toedragen,bear,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
517,afsterven,die,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
518,opbrengen,yield,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
519,toewerpen,throw,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
520,terechtkunnen,can go right,[]
521,signaleren,signaling,"['n', 'v', 'v']"
522,vleeswaren,meats,"['n', 'n', 'n']"
523,opdragen,command,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
524,twinkelen,twinkle,"['n', 'n', 'v', 'v']"
525,opgraven,dig up,[]
526,doodrijden,drive to death,[]
527,opklimmen,climb up,[]
528,boksen,boxing,"['n', 'n', 'v', 'v', 'v']"
529,doorsturen,forward,"['n', 'n', 'v', 'a', 'a', 'a', 's', 'r', 'r', 'r', 'r', 'r']"
530,aansporen,urge,"['n', 'n', 'v', 'v', 'v']"
531,huwelijken,marriages,"['n', 'n', 'n', 'n']"
532,verstrekken,provide,"['v', 'v', 'v', 'v', 'v', 'v', 'v']"
533,terugkaatsen,rebound,"['n', 'n', 'n', 'v', 'v']"
534,ronddragen,carry around,[]
535,pikken,pecking,"['v', 'v', 'v', 'v', 'v']"
536,rondrijden,drive around,[]
537,inpakken,packing up,[]
538,bijten,to bite,[]
539,verzwakken,weaken,"['v', 'v', 'v', 'v', 'v']"
540,ontbieden,summon,"['v', 'v', 'v', 'v']"
541,verlaten,leave,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
542,gedachtelezen,mind reading,[]
543,uitpakken,unpack,['v']
544,promoten,promote,"['v', 'v', 'v', 'v', 'v']"
545,toezingen,sing to,[]
546,bezwijken,succumb,"['v', 'v']"
547,bemiddelen,mediate,"['v', 'v', 'a', 's']"
548,klokken,clocks,"['n', 'n', 'v']"
549,stomen,steaming,"['v', 'v', 'v', 'v', 'v', 'v', 's', 'r']"
550,wegvloeien,draining,"['v', 'v', 'v', 'v', 's']"
551,kalibreren,calibrate,"['v', 'v', 'v']"
552,pushen,push,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
553,geleden,ago,"['s', 'r']"
554,morsen,to spill,[]
555,overspoelen,flood,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
556,platliggen,lay flat,[]
557,wegnemen,take away,[]
558,scheiden,divorce,"['n', 'v', 'v']"
559,onderlopen,flooded,"['v', 'v', 'v', 'v', 's']"
560,jammeren,whine,"['n', 'v', 'v', 'v', 'v']"
561,aanblijven,stay on,[]
562,tackelen,tackle,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v']"
563,ronddansen,dance around,[]
564,leegzuigen,vacuuming,['v']
565,verdelgen,destroy,"['v', 'v', 'v', 'v']"
566,thuisbrengen,bring home,[]
567,vooruitdenken,think ahead,[]
568,beminnen,love,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
569,binnenlaten,let in,[]
570,schrijven,to write,[]
571,vereffenen,settle,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
572,bedwelmen,intoxicate,"['v', 'v', 'v']"
573,zweren,to swear,[]
574,screenen,screening,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
575,schenden,violate,"['v', 'v', 'v', 'v', 'v', 'v']"
576,krikken,jacks,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v']"
577,ongelegen,inconvenient,"['a', 's']"
578,oplichten,lighting up,[]
579,mengen,to blend,[]
580,ontnemen,take away,[]
581,afknippen,cut off,[]
582,vergooien,throw away,[]
583,inspuiten,inject,"['v', 'v', 'v', 'v', 'v', 'v']"
584,kirren,cooing,"['v', 'v']"
585,commanderen,command,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
586,herboren,reborn,['s']
587,heropvoeden,re-educate,[]
588,walgen,disgusted,"['v', 'v', 's']"
589,filosoferen,philosophize,['v']
590,doorrijden,drive on,[]
591,abdomen,abdomen,"['n', 'n']"
592,harpoen,harpoon,"['n', 'v']"
593,zigzaggen,zigzag,"['n', 'v', 's', 'r']"
594,voorlezen,read aloud,[]
595,purgeren,purge,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
596,bouwen,to build,[]
597,lokaliseren,localize,"['v', 'v', 'v', 'v']"
598,zwichten,give in,[]
599,heren,Gentlemen,"['n', 'n']"
600,voortbewegen,to move,[]
601,ratelen,rattle,"['n', 'n', 'n', 'v', 'v']"
602,opwinden,excite,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
603,exploiteren,exploit,"['n', 'v', 'v', 'v']"
604,herleven,revive,"['v', 'v', 'v', 'v', 'v']"
605,schoonlikken,lick it clean,[]
606,belagen,beset,"['v', 'v', 'v']"
607,opendraaien,turn open,[]
608,afscheidszoen,goodbye kiss,[]
609,inhalen,to catch up,[]
610,jukbeen,cheekbone,['n']
611,hakken,Heels,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
612,hokken,lofts,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
613,verlengen,extend,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
614,walsen,rolling,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's']"
615,boren,drilling,"['n', 'n', 'v', 'v', 'v', 'v', 'v']"
616,beamen,To agree,[]
617,gebruiken,use,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
618,boven,above,"['n', 's', 'r', 'r']"
619,rebelleren,rebel,"['n', 'n', 'n', 'v', 'v']"
620,doorstappen,keep going,[]
621,kloppen,to knock,[]
622,omvormen,transform,"['v', 'v', 'v', 'v', 'v', 'v', 'v']"
623,bungelen,dangling,"['n', 'v', 'v']"
624,opschrokken,startled,"['v', 'v', 's']"
625,falen,to fail,[]
626,opleuken,embellish,"['v', 'v', 'v', 'v']"
627,bezwijmen,to swoon,[]
628,wegglijden,slipping,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's']"
629,negenen,nine,"['n', 'n', 'n', 's']"
630,hoven,courts,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v']"
631,uitschrijven,unsubscribe,[]
632,afknijpen,pinch off,[]
633,accelereren,accelerate,"['v', 'v']"
634,ontmantelen,dismantle,"['v', 'v', 'v']"
635,uittellen,counting out,[]
636,exerceren,drill,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
637,begeren,covet,['v']
638,geheimhouden,keep secret,[]
639,sputteren,sputter,"['n', 'n', 'v', 'v', 'v', 'v', 'v']"
640,doodvallen,fall to death,[]
641,fladderen,flutter,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
642,afstraffen,punish,['v']
643,bedelven,burial,"['n', 'n']"
644,bollen,bulbs,"['n', 'n', 'n', 'n', 'n', 'n']"
645,tokkelen,strumming,['v']
646,garen,yarn,"['n', 'n', 'v']"
647,bewandelen,walk,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
648,voelen,to feel,[]
649,bijspringen,help out,[]
650,verzieken,screw up,[]
651,terugvinden,find back,[]
652,leunen,to lean,[]
653,pesten,bullying,"['n', 'v', 'v', 's']"
654,peen,carrot,"['n', 'n', 'n', 'n']"
655,afdekken,cover,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
656,vervloeken,to curse,[]
657,inlijsten,framing,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
658,argumenteren,argue,"['v', 'v', 'v']"
659,terugreizen,travel back,[]
660,naaien,to sew,[]
661,wegschoppen,kick away,[]
662,royeren,expel,"['v', 'v', 'v', 'v']"
663,delegeren,delegate,"['n', 'v', 'v']"
664,samenscholen,gather together,[]
665,ontbreken,lack,"['n', 'v']"
666,schenken,donate,['v']
667,citeren,quote,"['n', 'n', 'v', 'v', 'v', 'v']"
668,garnizoen,garrison,"['n', 'n', 'n', 'v']"
669,bewerken,edit,"['v', 'v', 'v', 'v']"
670,oversnijden,overcutting,[]
671,verhinderen,obstruct,"['v', 'v', 'v']"
672,doordrinken,drink through,[]
673,koekhappen,biscuits,"['n', 'n']"
674,verwerven,acquire,"['v', 'v', 'v', 'v', 'v', 'v', 'v']"
675,platspuiten,flat spraying,[]
676,afdoen,take off,[]
677,ontwortelen,uproot,"['v', 'v', 'v']"
678,proefdraaien,test run,[]
679,vrolijken,cheer up,[]
680,verkeerstoren,control tower,[]
681,loskoppelen,detach,"['v', 'v', 'v']"
682,verwonderen,to amaze,[]
683,deuken,dents,"['n', 'n', 'n', 'v']"
684,emailleren,enamel,"['n', 'n', 'n', 'n', 'v']"
685,onkosten,expenses,"['n', 'n', 'n', 'v']"
686,blunderen,blunder,"['n', 'v', 'v', 'v']"
687,bespotten,mock,"['n', 'v', 'v', 's']"
688,diepzeeduiken,scuba diving,[]
689,inzoomen,zoom in,[]
690,afplakken,masking,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
691,haperen,falter,"['n', 'v', 'v', 'v', 'v']"
692,deporteren,deport,"['v', 'v', 'v']"
693,ontmaagden,deflowering,"['v', 'v']"
694,categoriseren,categorize,['v']
695,overhoren,quiz,"['n', 'v']"
696,elektrocuteren,electrocute,"['v', 'v']"
697,bespioneren,spy,"['n', 'n', 'v', 'v', 'v', 'v']"
698,bezweten,sweaty,[]
699,begroeten,greet,"['v', 'v', 'v', 'v']"
700,bedplassen,bedwetting,[]
701,ontdekken,to discover,[]
702,oprukken,advance,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's', 's']"
703,analyseren,analyze,"['v', 'v', 'v', 'v']"
704,wegkrijgen,to get away,[]
705,adoreren,adore,['v']
706,bazuinen,trumpets,"['n', 'n', 'v', 'v', 'v']"
707,toewijzen,assign,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
708,kwispelen,wagging the tail,[]
709,ijshockeyen,ice hockey,[]
710,taxeren,appraise,"['v', 'v']"
711,kuieren,amble,"['n', 'v']"
712,afweken,deviated,"['v', 'v', 'v']"
713,zelden,rarely,['r']
714,repatriëren,repatriate,"['n', 'v', 'v']"
715,afwimpelen,brush off,[]
716,bespuiten,spraying,"['n', 'n', 'n', 'v', 'v', 'v']"
717,napluizen,rummage,"['n', 'n', 'v']"
718,heen,away,"['s', 'a', 's', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r']"
719,aftuigen,rigging,"['n', 'n', 'v', 'v', 'v', 'v']"
720,stelpen,adjusting pin,[]
721,den,Pine tree,[]
722,begraven,to bury,[]
723,activeren,activate,"['v', 'v', 'v', 'v', 'v']"
724,reanimeren,resuscitate,"['v', 'v']"
725,omleiden,redirect,['v']
726,corrumperen,to corrupt,[]
727,reformeren,reforming,"['v', 'v', 'v', 'v', 'v', 'v']"
728,fusilleren,shoot,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
729,flapperen,flapping,"['n', 'v', 'v', 'v', 'v', 'v', 'v']"
730,stuiptrekken,convulsions,"['n', 'n', 'n', 'n']"
731,lappen,lapping,"['n', 'v', 'v', 'v', 'v', 'v']"
732,afkraken,abort,"['n', 'v', 'v', 'v']"
733,zwoegen,toil,"['n', 'v']"
734,miskleunen,goof,"['n', 'n', 'v']"
735,lijden,suffering,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's', 's']"
736,schalen,bowls,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v']"
737,vasthouden,to hold,[]
738,tijdrekken,time wasting,[]
739,kenteken,license Plate,[]
740,ophoesten,cough up,[]
741,baltsen,courtship,['n']
742,improviseren,improvise,"['v', 'v']"
743,dumpen,to dump,[]
744,sterven,to die,[]
745,terugsturen,return,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
746,wapen,weapon,"['n', 'n']"
747,gelukken,get lucky,[]
748,wieberen,wobble,"['n', 'v', 'v', 'v']"
749,paren,couples,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v']"
750,gelachen,laughed,['v']
751,heenbrengen,to bring,[]
752,opsluiten,lock up,[]
753,begrenzen,limit,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v']"
754,opblazen,to blow up,[]
755,neerdalen,descend,"['v', 'v', 'v', 'v']"
756,vergassen,gassing,"['n', 'n', 'v', 'v']"
757,uitfoeteren,scold,"['n', 'v', 'v']"
758,voltanken,refueling,"['n', 'v', 'v']"
759,struinen,stroll,"['n', 'v']"
760,voorzien,to provide,[]
761,luchtkussen,air cushion,[]
762,apporteren,to fetch,[]
763,opvoeren,step up,[]
764,mannen,men,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
765,afwijzen,reject,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
766,toegeven,to admit,[]
767,beeldhouwen,sculpt,"['v', 'v']"
768,badderen,bathing,"['n', 'n', 'v', 'v', 'v', 'v']"
769,zwakken,weak,"['a', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's']"
770,omheen,around it,[]
771,herkiezen,re-elect,[]
772,zamelen,collect,"['n', 'v', 'v', 'v', 'v', 'v', 's', 'r']"
773,veiligstellen,secure,"['v', 'v', 'v', 'v', 'v', 'v', 'a', 'a', 'a', 's', 's']"
774,parachutespringen,parachuting,"['n', 'v']"
775,uitkammen,comb out,[]
776,ontheffen,release,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
777,overgooien,throw over,[]
778,afdichten,sealing,"['n', 'v', 'v', 'v', 'v', 'v', 'v']"
779,verprutsen,mess it up,[]
780,bijwonen,to attend,[]
781,ompraten,talk,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
782,beuren,happen,"['v', 'v', 'v', 'v', 'v']"
783,verdringen,displace,"['v', 'v', 'v', 'v']"
784,verlagen,to lower,[]
785,herschikken,rearrange,['v']
786,checken,check,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
787,geselen,flogging,"['n', 'v', 'v']"
788,vastmaken,fasten,"['v', 'v', 'v', 'v']"
789,circusleven,circus life,[]
790,kennismaken,acquainted,"['v', 'v', 'v', 's']"
791,nabootsen,mimic,"['n', 'v', 's']"
792,aankopen,purchases,"['n', 'n', 'n', 'n', 'v']"
793,drummen,play the drums,[]
794,meesleuren,drag along,[]
795,verzetten,to oppose,[]
796,vertalen,translate,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
797,uitmoorden,murder,"['n', 'v', 'v']"
798,doorduwen,push through,[]
799,achteruitlopen,Walking backwards,[]
800,deserteren,desert,"['n', 'v', 'v', 'v']"
801,toelachen,smile,"['n', 'v', 'v']"
802,veinzen,feign,"['v', 'v']"
803,omschakelen,switching,"['n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
804,opschuiven,move up,[]
805,beschouwen,consider,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
806,uitzien,look,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
807,herplaatsen,relocate,"['v', 'v']"
808,afstoffen,dust off,[]
809,vagen,fade,"['n', 'n', 'v', 'v', 'v', 'v']"
810,spijbelen,skip class,[]
811,teen,toe,"['n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
812,platwalsen,flattening,"['v', 'v', 'v']"
813,melden,report,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v']"
814,kaalplukken,plucking bald,[]
815,aandraaien,tighten,"['v', 'v', 'v', 'v']"
816,heersen,reign,"['n', 'n', 'n', 'v', 'v']"
817,aannemen,take,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
818,uitrollen,unroll,"['v', 'v']"
819,oplezen,read out,[]
820,kaatsen,bounce,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
821,toedoen,doing,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
822,hinken,limping,"['n', 'v', 'v']"
823,gniffelen,chuckle,"['n', 'v']"
824,dwarsbomen,thwart,"['n', 'v']"
825,opjutten,stir up,[]
826,uitslepen,drag out,[]
827,meelijden,sympathize,"['v', 'v', 'v']"
828,doorsnijden,cut through,[]
829,verwijden,dilate,"['v', 'v']"
830,inbeuken,pounding in,[]
831,wegsnijden,cut away,[]
832,roven,rob,"['v', 'v']"
833,winden,winds,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
834,klemrijden,underrun,[]
835,groen,green,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 's', 'a', 'a', 's', 's']"
836,opduiken,emerge,"['v', 'v', 'v', 'v', 'v']"
837,touwtjespringen,jumping rope,[]
838,teruggetrokken,withdrawn,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's', 's']"
839,filteren,filtering,"['v', 'v', 'v']"
840,modderen,muddy,"['v', 'v', 'v', 's', 's', 's', 's']"
841,voorkomen,appearance,"['n', 'n', 'n', 'n', 'n', 'n']"
842,roeien,rowing,"['n', 'v']"
843,stikken,choke,"['n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
844,loeren,lurk,"['v', 'v', 'v']"
845,grondvesten,foundations,"['n', 'n', 'n', 'n', 'n', 'n', 'n']"
846,oefenen,to practise,[]
847,opleiden,educate,"['v', 'v', 'v']"
848,frummelen,fumble,"['n', 'v', 'v', 'v', 'v', 'v']"
849,spenderen,to spend,[]
850,bekendmaken,to announce,[]
851,aankomen,arrive,"['v', 'v']"
852,focussen,to focus,[]
853,inroepen,invoke,"['v', 'v', 'v']"
854,tandenknarsen,teeth grinding,[]
855,loskrijgen,get loose,[]
856,serveren,to serve,[]
857,ondertekenen,sign,"['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's']"
858,onthullen,to reveal,[]
859,voltrekken,accomplish,"['v', 'v']"
860,telefoneren,talk on the phone,[]
861,hemelen,heavens,"['n', 'n', 'n']"
862,zeulen,lugging,"['v', 'v']"
863,gaarkoken,cooking,"['n', 'v', 'v', 'v', 'v', 'v']"
864,streaken,streak,"['n', 'n', 'n', 'n', 'v', 'v', 'v']"
865,uiteenrukken,tear apart,[]
866,heropenen,reopen,['v']
867,legaliseren,legalize,['v']
868,voltooien,complete,"['v', 'v', 'v', 'v', 'v', 'a', 's', 's', 's', 's']"
869,herschrijven,rewrite,"['n', 'v', 'v']"
870,betrappen,to catch,[]
871,toezien,watch,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
872,stuiteren,bounce,"['n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
873,aftaaien,take off,[]
874,terugwinnen,reclaim,"['v', 'v', 'v', 'v', 'v']"
875,aansnijden,broach,"['n', 'v']"
876,censureren,censor,"['n', 'n', 'v', 'v']"
877,opzuipen,suck up,[]
878,deugen,good,"['n', 'n', 'n', 'n', 'a', 's', 'a', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 's', 'r', 'r']"
879,kleppen,valves,"['n', 'n', 'n', 'n', 'n']"
880,transporteren,transport,"['n', 'n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v']"
881,vastzetten,fix,"['n', 'n', 'n', 'n', 'n', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v']"
882,aanzien,considered,"['v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 's']"
883,gevreten,eaten,"['v', 'v', 'v', 'v', 'v', 'v']"
884,aandringen,insist,"['v', 'v', 'v']"
885,aanstaren,stare,"['n', 'v', 'v']"
886,kaakbeen,jawbone,"['n', 'v']"
887,oprennen,run up,[]
888,vervagen,to fade,[]
889,tegenhouden,hold back,[]
890,doorkletsen,continue talking,[]
891,samenbrengen,bring together,[]
892,overvallen,robberies,"['n', 'n']"
893,verklaren,to declare,[]
894,piesen,peeing,"['n', 'v']"
895,uitschieten,shoot out,[]
