,word,translation,meaning
219,gaf,gave,"{'Verb': ['cause to have, in the abstract sense or physical sense', 'be the cause or source of', 'transfer possession of something concrete or abstract to somebody', 'convey or reveal information', 'convey, as of a compliment, regards, attention, etc.; bestow', 'organize or be responsible for', 'convey or communicate; of a smile, a look, a physical gesture', 'give as a present; make a gift of', 'cause to happen or be responsible for', 'dedicate', 'give or supply', 'transmit (knowledge or skills', 'bring about', 'leave with; give temporarily', 'emit or utter', 'endure the loss of', 'place into the hands or custody of', 'give entirely to a specific person, activity, or cause', 'give (as medicine', 'give or convey physically', 'bestow', 'bestow, especially officially', 'move in order to make room for someone for something', 'give food to', 'contribute to some cause', 'break down, literally or metaphorically', 'estimate the duration or outcome of something', 'execute and deliver', 'deliver in exchange or recompense', 'afford access to', 'present to view', 'perform for an audience', 'be flexible under stress of physical force', 'propose', 'accord by verdict', 'manifest or show', 'offer in good faith', 'submit for consideration, judgment, or use', 'guide or direct, as by behavior of persuasion', 'allow to have or take', 'inflict as a punishment', 'consent to engage in sexual intercourse with a man', 'proffer (a body part']}"
220,gal,bile,{'Noun': ['a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats']}
221,gap,gap,"{'Noun': ['a conspicuous disparity or difference as between two figures', 'an open or empty space in or between things', 'a narrow opening', 'a pass between mountain peaks', 'a difference (especially an unfortunate difference', 'an act of delaying or interrupting the continuity'], 'Verb': ['make an opening or gap in']}"
222,gas,gas,"{'Noun': ['the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container', 'a fluid in the gaseous state having neither independent shape nor volume and being able to expand indefinitely', 'a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.', 'a state of excessive gas in the alimentary canal', 'a pedal that controls the throttle valve', 'a fossil fuel in the gaseous state; used for cooking and heating homes'], 'Verb': ['attack with gas; subject to gas fumes', 'show off']}"
223,gat,hole,"{'Noun': ['an opening into or through something', 'an opening deliberately made in or through something', 'one playing period (from tee to green', 'an unoccupied space', 'a depression hollowed out of solid matter', 'a fault', 'informal terms for a difficult situation', 'informal terms for the mouth'], 'Verb': ['hit the ball into the hole', 'make holes in']}"
224,gay,gay,"{'Noun': ['someone who is sexually attracted to persons of the same sex'], 'Adjective': ['bright and pleasant; promoting a feeling of cheer', 'full of or showing high-spirited merriment', 'given to social pleasures often including dissipation', 'brightly colored and showy', 'offering fun and gaiety', 'or festal', 'homosexual or arousing homosexual desires']}"
225,ge,ge,"{'Noun': ['a brittle grey crystalline element that is a semiconducting metalloid (resembling silicon', '(Greek mythology']}"
226,gek,crazy,"{'Noun': ['someone deranged and possibly dangerous'], 'Adjective': ['affected with madness or insanity', 'foolish; totally unsound', 'possessed by inordinate excitement', 'bizarre or fantastic', 'intensely enthusiastic about or preoccupied with']}"
227,gel,gel,"{'Noun': ['a colloid in a more solid form than a sol', 'jellylike substance used in hair styling', 'a thin translucent membrane used over stage lights for color effects'], 'Verb': ['become a gel', 'apply a styling gel to']}"
228,gen,gene,{'Noun': ['(genetics']}
229,gif,poison,"{'Noun': ['any substance that causes injury or illness or death of a living organism', 'anything that harms or destroys'], 'Verb': ['spoil as if by poison', 'kill with poison', 'add poison to', 'kill by its poison', 'administer poison to']}"
230,gig,gig,"{'Noun': ['long and light rowing boat; especially for racing', 'an implement with a shaft and barbed point used for catching fish', 'a cluster of hooks (without barbs', ""tender that is a light ship's boat; often for personal use of captain"", 'small two-wheeled horse-drawn carriage; with two seats and no hood', 'a booking for musicians']}"
231,gij,thou,{'Noun': ['the cardinal number that is the product of 10 and 100']}
232,gil,scream,"{'Noun': ['sharp piercing cry', 'a high-pitched noise resembling a human cry', 'a joke that seems extremely funny'], 'Verb': ['utter a sudden loud cry', 'utter or declare in a very loud voice', 'make a loud, piercing sound']}"
233,gin,gin,"{'Noun': ['strong liquor flavored with juniper berries', 'a trap for birds or small mammals; often has a slip noose', 'a machine that separates the seeds from raw cotton fibers', 'a form of rummy in which a player can go out if the cards remaining in their hand total less than 10 points'], 'Verb': ['separate the seeds from (cotton', 'trap with a snare']}"
234,gis,gis,"{'Noun': ['a unit of magnetomotive force equal to 0.7958 ampere-turns'], 'Verb': ['clean in preparation for inspection']}"
235,git,git,{'Noun': ['a person who is deemed to be despicable or contemptible']}
236,go,go,"{'Noun': ['a time period for working (after which you will be relieved by someone else', 'street names for methylenedioxymethamphetamine', 'a usually brief attempt', ""a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters""], 'Verb': ['change location; move, travel, or proceed, also metaphorically', 'follow a procedure or take a course', 'move away from a place into another direction', 'enter or assume a certain state or condition', 'be awarded; be allotted', 'have a particular form', 'stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point', 'follow a certain course', 'be abolished or discarded', 'be or continue to be in a certain condition', 'make a certain noise or sound', 'perform as expected when applied', 'to be spent or finished', 'progress by being changed', 'continue to live and avoid dying', 'pass, fare, or elapse; of a certain state of affairs or action', 'pass from physical life and lose all bodily attributes and functions necessary to sustain life', 'be in the right place or situation', 'be ranked or compare', 'begin or set in motion', ""have a turn; make one's move in a game"", 'be contained in', 'be sounded, played, or expressed', 'blend or harmonize', 'lead, extend, or afford access', 'be the right size or shape; fit correctly or as desired', ""go through in search of something; search through someone's belongings in an unauthorized way"", 'be spent', 'give support (to', 'stop operating or functioning'], 'Adjective': ['functioning correctly and ready for action']}"
237,god,God,"{'Noun': ['the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions', 'any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force', 'a man of such superior qualities that he seems like a deity to other people', 'a material effigy that is worshipped']}"
238,goh,gosh,
239,goj,goj,
240,gok,guess,"{'Noun': ['a message expressing an opinion based on incomplete evidence', 'an estimate based on little or no information'], 'Verb': ['expect, believe, or suppose', 'put forward, of a guess, in spite of possible refutation', 'judge tentatively or form an estimate of (quantities or time', 'guess correctly; solve by guessing']}"
241,gom,gum,"{'Noun': ['a preparation (usually made of sweetened chicle', 'the tissue (covered by mucous membrane', 'any of various substances (soluble in water', 'cement consisting of a sticky substance that is used as an adhesive', 'wood or lumber from any of various gum trees especially the sweet gum', 'any of various trees of the genera Eucalyptus or Liquidambar or Nyssa that are sources of gum'], 'Verb': ['cover, fill, fix or smear with or as if with gum', 'grind with the gums; chew without teeth and with great difficulty', 'become sticky', 'exude or form gum']}"
242,gps,gps,"{'Noun': ['a physician who is not a specialist but treats all illnesses', 'a navigational system involving satellites and computers that can determine the latitude and longitude of a receiver on Earth by computing the time difference for signals from different satellites to reach the receiver']}"
243,gsm,cell phone,
244,gul,generous,"{'Adjective': ['willing to give and share unstintingly', 'not petty in character and mind', 'more than is usual or necessary']}"
245,gum,eraser,{'Noun': ['an implement used to erase something']}
246,gun,gun,"{'Noun': ['a weapon that discharges a missile at high velocity (especially from a metal tube or barrel', 'large but transportable armament', 'a person who shoots a gun (as regards their ability', 'a professional killer who uses a gun', 'a hand-operated pump that resembles a pistol; forces grease into parts of a machine', 'a pedal that controls the throttle valve', 'the discharge of a firearm as signal or as a salute in military ceremonies'], 'Verb': ['shoot with a gun']}"
247,gup,gup,
248,gut,gut,"{'Noun': ['the part of the alimentary canal between the stomach and the anus', 'a narrow channel or strait', 'a strong cord made from the intestines of sheep and used in surgery'], 'Verb': ['empty completely; destroy the inside of', 'remove the guts of']}"
249,gym,gym,{'Noun': ['athletic facility equipped for sports or physical training']}
250,ha,ha,"{'Noun': ['(astronomy', 'the state of being or appearing to be actively engaged in an activity', ""an Islamic fundamentalist group in Pakistan that fought the Soviet Union in Afghanistan in the 1980s; now operates as a terrorist organization primarily in Kashmir and seeks Kashmir's accession by Pakistan"", 'a humming noise']}"
251,had,had,"{'Verb': ['have or possess, either in a concrete or an abstract sense', 'have as a feature', 'go through (mental or physical states or experiences', 'have ownership or possession of', 'cause to move; cause to be in a certain position or condition', 'serve oneself to, or consume regularly', 'have a personal or business relationship with someone', 'organize or be responsible for', 'have left', 'be confronted with', 'undergo', 'suffer from; be ill with', 'cause to do; cause to act in a specified manner', 'receive willingly something given or offered', 'get something; come into possession of', 'undergo (as of injuries and illnesses', 'achieve a point or goal', 'cause to be born', 'have sex with; archaic use']}"
252,haf,haf,
253,hak,heel,"{'Noun': ['the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation', 'the back part of the human foot', 'someone who is morally reprehensible', 'one of the crusty ends of a loaf of bread', ""the lower end of a ship's mast""], 'Verb': ['tilt to one side', 'follow at the heels of a person', 'perform with the heels', 'strike with the heel of the club', 'put a new heel on']}"
254,hal,hall,"{'Noun': ['an interior passage or corridor onto which rooms open', 'a large entrance or reception room or area', 'a large room for gatherings or entertainment', 'a college or university building containing living quarters for students', 'the large room of a manor or castle', 'English writer whose novel about a lesbian relationship was banned in Britain for many years (1883-1943', 'United States child psychologist whose theories of child psychology strongly influenced educational psychology (1844-1924', 'United States chemist who developed an economical method of producing aluminum from bauxite (1863-1914', 'United States explorer who led three expeditions to the Arctic (1821-1871', 'United States astronomer who discovered Phobos and Deimos (the two satellites of Mars', '1829-1907', 'a large and imposing house', 'a large building used by a college or university for teaching or research', 'a large building for meetings or entertainment']}"
255,ham,ham,"{'Noun': ['meat cut from the thigh of a hog (usually smoked', '(Old Testament', 'a licensed amateur radio operator', 'an unskilled actor who overacts'], 'Verb': [""exaggerate one's acting""]}"
256,hap,bite,"{'Noun': ['a wound resulting from biting by an animal or a person', 'a small amount of solid food; a mouthful', ""a painful wound caused by the thrust of an insect's stinger into skin"", 'a light informal meal', '(angling', 'wit having a sharp and caustic quality', 'a strong odor or taste property', 'the act of gripping or chewing off with the teeth and jaws', 'a portion removed from the whole'], 'Verb': ['to grip, cut off, or tear with or as if with the teeth or jaws', 'cause a sharp or stinging pain or discomfort', 'penetrate or cut, as with a knife', 'deliver a sting to']}"
257,har,har,
258,hbo,HBO,
259,hbs,hbs,{'Noun': ['a hemoprotein composed of globin and heme that gives red blood cells their characteristic color; function primarily to transport oxygen from the lungs to the body tissues']}
260,heb,have got,
261,hef,lift,"{'Noun': ['the act of giving temporary assistance', 'the component of the aerodynamic forces acting on an airfoil that opposes gravity', 'the event of something being raised upward', 'a wave that lifts the surface of the water or ground', 'a powered conveyance that carries skiers up a hill', 'a device worn in a shoe or boot to make the wearer look taller or to correct a shortened leg', 'one of the layers forming the heel of a shoe or boot', 'lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building', 'plastic surgery to remove wrinkles and other signs of aging from your face; an incision is made near the hair line and skin is pulled back and excess tissue is excised', 'transportation of people or goods by air (especially when other means of access are unavailable', 'a ride in a car', 'the act of raising something'], 'Verb': ['raise from a lower to a higher position', 'take hold of something and move it to a different location', 'move upwards', 'move upward', 'make audible', 'cancel officially', 'make off with belongings of others', 'raise or haul up with or as if with mechanical help', 'invigorate or heighten', 'raise in rank or condition', 'take off or away by decreasing', 'rise up', 'pay off (a mortgage', ""take without referencing from someone else's writing or speech; of intellectual property"", 'take illegally', 'fly people or goods to or from places not accessible by other means', 'take (root crops', 'call to stop the hunt or to retire, as of hunting dogs', 'rise upward, as from pressure or moisture', 'put an end to', 'remove (hair', 'remove from a seedbed or from a nursery', 'remove from a surface', ""perform cosmetic surgery on someone's face""]}"
262,heg,hedge,"{'Noun': ['a fence formed by a row of closely planted shrubs or bushes', 'any technique designed to reduce or eliminate financial risk; for example, taking two positions that will offset each other if prices change', 'an intentionally noncommittal or ambiguous statement'], 'Verb': ['avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues', 'hinder or restrict with or as if with a hedge', 'enclose or bound in with or as it with a hedge or hedges', 'minimize loss or risk']}"
263,hei,hei,
264,hek,fence,"{'Noun': ['a barrier that serves to enclose an area', 'a dealer in stolen property'], 'Verb': ['enclose with a fence', 'receive stolen goods', 'fight with fencing swords', 'surround with a wall in order to fortify', 'have an argument about something']}"
265,hel,hell,"{'Noun': ['any place of pain and turmoil', 'a cause of difficulty and suffering', '(Christianity', '(religion', 'noisy and unrestrained mischief']}"
266,hem,him,
267,hen,them,
268,her,her,
269,hes,hes,"{'Noun': ['a very light colorless element that is one of the six inert gasses; the most difficult gas to liquefy; occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas', 'the 5th letter of the Hebrew alphabet']}"
270,het,it,{'Noun': ['the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information']}
271,hij,he,"{'Noun': ['a very light colorless element that is one of the six inert gasses; the most difficult gas to liquefy; occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas', 'the 5th letter of the Hebrew alphabet']}"
272,hik,hiccups,"{'Noun': ['(usually plural'], 'Verb': ['breathe spasmodically, and make a sound']}"
273,hip,hip,"{'Noun': ['either side of the body below the waist and above the thigh', 'the structure of the vertebrate skeleton supporting the lower limbs in humans and the hind limbs or corresponding parts in other vertebrates', 'the ball-and-socket joint between the head of the femur and the acetabulum', '(architecture', 'the fruit of a rose plant'], 'Adjective': ['informed about the latest trends']}"
274,hit,hit,"{'Noun': ['(baseball', 'especially in baseball', 'the act of contacting one thing with another', 'a conspicuous success', '(physics', 'a dose of a narcotic drug', 'a murder carried out by an underworld syndicate', 'a connection made via the internet to another website'], 'Verb': ['cause to move by striking', 'hit against; come into sudden contact with', 'deal a blow to, either with the hand or with an instrument', 'reach a destination, either real or abstract', 'affect or afflict suddenly, usually adversely', 'hit with a missile from a weapon', 'encounter by chance', 'gain points in a game', 'cause to experience suddenly', 'make a strategic, offensive, assault against an enemy, opponent, or a target', 'kill intentionally and with premeditation', 'drive something violently into a location', 'reach a point in time, or a certain state or level', 'produce by manipulating keys or strings of musical instruments', 'hit the intended target or goal', 'pay unsolicited and usually unwanted sexual attention to']}"
275,hiv,HIV,"{'Noun': ['infection by the human immunodeficiency virus', 'the virus that causes acquired immune deficiency syndrome (AIDS']}"
276,ho,ho,{'Noun': ['a trivalent metallic element of the rare earth group; occurs together with yttrium; forms highly magnetic compounds']}
277,hoc,hoc,
278,hoe,how,
279,hof,court,"{'Noun': ['an assembly (including one or more judges', 'a room in which a lawcourt sits', 'the sovereign and his advisers who are the governing power of a state', 'a specially marked horizontal area within which a game is played', 'Australian woman tennis player who won many major championships (born in 1947', 'the family and retinue of a sovereign or prince', 'a hotel for motorists; provides direct access from rooms to parking area', 'a tribunal that is presided over by a magistrate or by one or more judges who administer justice according to the laws', 'the residence of a sovereign or nobleman', 'an area wholly or partly surrounded by walls or buildings', 'respectful deference'], 'Verb': ['make amorous advances towards', ""seek someone's favor"", 'engage in social activities leading to marriage']}"
280,hoi,Hi,"{'Noun': ['an expression of greeting', 'a state in the United States in the central Pacific on the Hawaiian Islands', 'Czechoslovakian religious reformer who anticipated the Reformation; he questioned the infallibility of the Catholic Church was excommunicated (1409', '1372-1415']}"
281,hok,loft,"{'Noun': ['floor consisting of a large unpartitioned space over a factory or warehouse or other commercial space', 'floor consisting of open space at the top of a house just below roof; often used for storage', 'a raised shelter in which pigeons are kept'], 'Verb': ['store in a loft', 'propel through the air', 'kick or strike high in the air', ""lay out a full-scale working drawing of the lines of a vessel's hull""]}"
282,hol,hollow,"{'Noun': ['a cavity or space in something', 'a small valley between mountains', 'a depression hollowed out of solid matter'], 'Verb': ['remove the inner part or the core of', 'remove the interior of'], 'Adjective': ['not solid; having a space or gap or cavity', 'as if echoing in a hollow space', 'devoid of significance or force', 'lacking in substance or character']}"
283,hom,hom,
284,hop,hop,"{'Noun': ['the act of hopping; jumping upward or forward (especially on one foot', 'twining perennials having cordate leaves and flowers arranged in conelike spikes; the dried flowers of this plant are used in brewing to add the characteristic bitter taste to beer', 'an informal dance where popular music is played'], 'Verb': ['jump lightly', 'move quickly from one place to another', 'travel by means of an aircraft, bus, etc.', 'traverse as if by a short airplane trip', 'jump across', 'make a jump forward or upward']}"
285,hor,hor,
286,hot,hot,"{'Adjective': ['used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning', 'characterized by violent and forceful activity or movement; very intense', 'extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm', '(color', 'sexually excited or exciting', 'recently stolen or smuggled', 'very fast; capable of quick response and great speed', 'wanted by the police', 'producing a burning sensation on the taste nerves', 'performed or performing with unusually great skill and daring and energy', 'very popular or successful', 'very unpleasant or even dangerous', 'newest or most recent', 'having or bringing unusually good luck', 'very good; often used in the negative', 'newly made', 'having or showing great eagerness or enthusiasm', 'of a seeker; very near to the object sought', 'having or dealing with dangerously high levels of radioactivity', 'charged or energized with electricity', 'marked by excited activity']}"
287,hou,love,"{'Noun': ['a strong positive emotion of regard and affection', 'any object of warm affection or devotion', 'a beloved person; used as terms of endearment', 'a deep feeling of sexual desire and attraction', 'a score of zero in tennis or squash', 'sexual activities (often including sexual intercourse'], 'Verb': ['have a great affection or liking for', 'get pleasure from', 'be enamored or in love with', 'have sexual intercourse with']}"
288,hu,hu,
289,hub,hub,"{'Noun': ['the central part of a car wheel (or fan or propeller etc', 'a center of activity or interest or commerce or transportation; a focal point around which events revolve']}"
290,hum,hum,"{'Noun': ['the state of being or appearing to be actively engaged in an activity', ""an Islamic fundamentalist group in Pakistan that fought the Soviet Union in Afghanistan in the 1980s; now operates as a terrorist organization primarily in Kashmir and seeks Kashmir's accession by Pakistan"", 'a humming noise'], 'Verb': ['sing with closed lips', 'be noisy with activity', 'sound with a monotonous hum', 'make a low continuous sound']}"
291,hun,their,
292,hup,hup,
293,hut,cabin,"{'Noun': ['small room on a ship or boat where people sleep', 'a small house built of wood; usually in a wooded area', 'the enclosed compartment of an aircraft or spacecraft where passengers are carried'], 'Verb': ['confine to a small space, such as a cabin']}"
294,hè,Hey,
295,hé,Hey,
296,héb,have got,
297,hém,him,
298,hén,them,
299,hét,it,{'Noun': ['the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information']}
300,ia,ia,"{'Noun': ['a state in midwestern United States', 'a particle that is electrically charged (positive or negative']}"
301,ic,ic,"{'Noun': ['a group of government agencies and organizations that carry out intelligence activities for the United States government; headed by the Director of Central Intelligence'], 'Adjective': ['being one less than one hundred and nine more than ninety']}"
302,ie,ie,"{'Noun': ['a commercial browser'], 'Adverb': ['that is to say; in other words']}"
303,iel,thin,"{'Verb': ['lose thickness; become thin or thinner', 'make thin or thinner', 'lessen the strength or flavor of a solution or mixture', 'take off weight'], 'Adjective': ['of relatively small extent from one surface to the opposite or in cross section', 'lacking excess flesh', 'very narrow', 'not dense', 'relatively thin in consistency or low in density; not viscous', '(of sound', 'lacking spirit or sincere effort', 'lacking substance or significance'], 'Adverb': ['without viscosity']}"
304,iep,elm,"{'Noun': ['any of various trees of the genus Ulmus: important timber or shade trees', 'hard tough wood of an elm tree; used for e.g. implements and furniture']}"
305,iet,not,{'Adverb': ['negation of a word or group of words']}
306,ij,ij,
307,ijk,gauge,"{'Noun': ['a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.', 'accepted or approved instance or example of a quantity or quality against which others are judged or measured or compared', 'the distance between the rails of a railway or between the wheels of a train', 'the thickness of wire', 'diameter of a tube or gun barrel'], 'Verb': ['judge tentatively or form an estimate of (quantities or time', 'rub to a uniform size', 'determine the capacity, volume, or contents of by measurement and calculation', 'measure precisely and against a standard', 'adapt to a specified measurement', 'mix in specific proportions']}"
308,ijl,delirious,"{'Adjective': ['experiencing delirium', 'marked by uncontrolled excitement or emotion']}"
309,ijs,ice,"{'Noun': ['water frozen in the solid state', 'the frozen part of a body of water', 'diamonds', 'a flavored sugar topping used to coat and decorate cakes', 'a frozen dessert with fruit flavoring (especially one containing no milk', 'an amphetamine derivative (trade name Methedrine', 'a heat engine in which combustion occurs inside the engine rather than in a separate furnace; heat expands a gas that either moves a piston or turns a gas turbine', 'a rink with a floor of ice for ice hockey or ice skating'], 'Verb': ['decorate with frosting', 'cause to become ice or icy', 'put ice on or put on ice']}"
310,ik,I,"{'Noun': ['a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks', 'the smallest whole number or a numeral representing this number', 'the 9th letter of the Roman alphabet'], 'Adjective': ['used of a single unit or thing; not two or more']}"
311,in,in,"{'Noun': ['a unit of length equal to one twelfth of a foot', 'a rare soft silvery metallic element; occurs in small quantities in sphalerite', 'a state in midwestern United States'], 'Adjective': ['holding office', 'directed or bound inward', 'currently fashionable'], 'Adverb': ['to or toward the inside of']}"
312,ins,ins,"{'Noun': ['a unit of length equal to one twelfth of a foot', 'a rare soft silvery metallic element; occurs in small quantities in sphalerite', 'a state in midwestern United States', 'an agency in the Department of Justice that enforces laws and regulations for the admission of foreign-born persons to the United States']}"
313,ion,ion,{'Noun': ['a particle that is electrically charged (positive or negative']}
314,is,is,"{'Noun': ['a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks', 'the smallest whole number or a numeral representing this number', 'the 9th letter of the Roman alphabet'], 'Verb': ['have the quality of being; (copula, used with an adjective or a predicate noun', 'be identical to; be someone or something', 'occupy a certain position or area; be somewhere', 'have an existence, be extant', 'happen, occur, take place', 'be identical or equivalent to', 'form or compose', 'work in a specific place, with a specific subject, or in a specific function', 'represent, as of a character on stage', 'spend or use time', 'have life, be alive', 'to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form', 'be priced at']}"
315,ja,Yes,{'Noun': ['an affirmative']}
316,jak,yak,"{'Noun': ['noisy talk', 'large long-haired wild ox of Tibet often domesticated'], 'Verb': ['talk profusely']}"
317,jam,jam,"{'Noun': ['preserve of crushed fruit', 'informal terms for a difficult situation', 'a dense crowd of people', 'deliberate radiation or reflection of electromagnetic energy for the purpose of disrupting enemy use of electronic devices or systems'], 'Verb': ['press tightly together or cram', 'push down forcibly', 'crush or bruise', 'interfere with or prevent the reception of signals', 'get stuck and immobilized', 'crowd or pack to capacity', 'block passage through']}"
318,jan,Jan,{'Noun': ['the first month of the year; begins 10 days after the winter solstice']}
319,jap,jap,{'Noun': ['(offensive slang']}
320,jas,jacket,"{'Noun': ['a short coat', 'an outer wrapping or casing', '(dentistry', 'the outer skin of a potato', 'the tough metal shell casing for certain kinds of ammunition'], 'Verb': ['provide with a thermally non-conducting cover', 'put a jacket on']}"
321,jat,swipe,"{'Noun': ['a sweeping stroke or blow'], 'Verb': ['strike with a swiping motion', 'make off with belongings of others']}"
322,je,you,
323,jee,yee,
324,jen,jen,
325,jet,jet,"{'Noun': ['an airplane powered by one or more jet engines', 'the occurrence of a sudden discharge (as of liquid', 'a hard black form of lignite that takes a brilliant polish and is used in jewelry or ornamentation', 'atmospheric discharges (lasting 10 msec', 'street names for ketamine', 'an artificially produced flow of water'], 'Verb': ['issue in a jet; come out in a jet; stream or spring forth', 'fly a jet plane'], 'Adjective': ['of the blackest black; similar to the color of jet or coal']}"
326,jeu,jeu,
327,jid,jid,
328,jij,you,
329,job,Job,"{'Noun': ['the principal activity in your life that you do to earn money', 'a specific piece of work required to be done as a duty or for a specific fee', ""a workplace; as in the expression `on the job'"", 'an object worked on; a result produced by working', 'the responsibility to do something', 'the performance of a piece of work', 'a damaging piece of work', 'a state of difficulty that needs to be resolved', 'a Jewish hero in the Old Testament who maintained his faith in God in spite of afflictions that tested him', 'any long-suffering person who withstands affliction without despairing', '(computer science', ""a book in the Old Testament containing Job's pleas to God about his afflictions and God's reply"", 'a crime (especially a robbery'], 'Verb': ['profit privately from public office and official business', 'arranged for contracted work to be done by others', 'work occasionally', 'invest at a risk']}"
330,joh,dude,"{'Noun': ['an informal form of address for a man', 'a man who is much concerned with his dress and appearance']}"
331,jol,gig,"{'Noun': ['long and light rowing boat; especially for racing', 'an implement with a shaft and barbed point used for catching fish', 'a cluster of hooks (without barbs', ""tender that is a light ship's boat; often for personal use of captain"", 'small two-wheeled horse-drawn carriage; with two seats and no hood', 'a booking for musicians']}"
332,jon,Jon,
333,jou,you,
334,ju,ju,
335,juf,teacher,"{'Noun': ['a person whose occupation is teaching', 'a personified abstraction that teaches']}"
336,juk,yoke,"{'Noun': ['fabric comprising a fitted part at the top of a garment', 'an oppressive power', 'two items of the same kind', 'a pair of draft animals joined by a yoke', 'support consisting of a wooden frame across the shoulders that enables a person to carry buckets hanging from each end', 'a connection (like a clamp or vise', 'stable gear that joins two draft animals at the neck so they can work together as a team'], 'Verb': ['become joined or linked together', 'link with or as with a yoke', 'put a yoke on or join with a yoke']}"
337,jus,gravy,"{'Noun': ['a sauce made by adding stock, flour, or other ingredients to the juice and fat that drips from cooking meats', 'the seasoned but not thickened juices that drip from cooking meats; often a little water is added', 'a sudden happening that brings good fortune (as a sudden opportunity to make money']}"
338,jut,jut,"{'Noun': ['something that bulges out or is protuberant or projects from its surroundings', 'the act of projecting out from something'], 'Verb': ['extend out or project in space']}"
339,jéé,yee,
340,ka,ka,{'Noun': ['unknown god; an epithet of Prajapati and Brahma']}
341,kaf,chaff,"{'Noun': ['material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds', 'foil in thin strips; ejected into the air as a radar countermeasure'], 'Verb': ['be silly or tease one another']}"
342,kak,poop,"{'Noun': ['obscene terms for feces', 'a stupid foolish person', 'slang terms for inside information', 'the rear part of a ship']}"
343,kal,cal,
344,kam,comb,"{'Noun': ['a flat device with narrow pointed teeth on one edge; disentangles or arranges hair', 'the fleshy red crest on the head of the domestic fowl and other gallinaceous birds', 'any of several tools for straightening fibers', 'ciliated comb-like swimming plate of a ctenophore', 'the act of drawing a comb through hair'], 'Verb': ['straighten with a comb', 'search thoroughly', 'smoothen and neaten with or as with a comb']}"
345,kan,can,"{'Noun': ['airtight sealed metal container for food or drink or paint etc.', 'the quantity contained in a can', 'a buoy with a round bottom and conical top', 'the fleshy part of the human body that you sit on', 'a plumbing fixture for defecation and urination', 'a room or building equipped with one or more toilets'], 'Verb': ['preserve in a can or tin', 'terminate the employment of; discharge from an office or position']}"
346,kap,hood,"{'Noun': ['an aggressive and violent young criminal', 'a protective covering that is part of a plant', '(slang', 'a tubular attachment used to keep stray light out of the lens of a camera', '(falconry', 'metal covering leading to a vent that exhausts smoke or fumes', 'the folding roof of a carriage', 'a headdress that protects the head and face', 'protective covering consisting of a metal part that covers the engine', '(zoology'], 'Verb': ['cover with a hood']}"
347,kar,cart,"{'Noun': ['a heavy open wagon usually having two wheels and drawn by an animal', 'wheeled vehicle that can be pushed by a person; may have one or two or four wheels'], 'Verb': ['draw slowly or heavily', 'transport something in a cart']}"
348,kas,greenhouse,"{'Noun': ['a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions'], 'Adjective': ['of or relating to or caused by the greenhouse effect']}"
349,kat,cat,"{'Noun': ['feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats', 'an informal term for a youth or man', 'a spiteful woman gossip', 'the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea; has the effect of a euphoric stimulant', 'a whip with nine knotted cords', 'a large tracked vehicle that is propelled by two endless metal belts; frequently used for moving earth in construction and farm work', 'any of several large cats typically able to roar and living in the wild', 'a method of examining body organs by scanning them with X rays and using a computer to construct a series of cross-sectional scans along a single axis'], 'Verb': [""beat with a cat-o'-nine-tails"", 'eject the contents of the stomach through the mouth']}"
350,kei,boulder,"{'Noun': ['a large smooth mass of rock detached from its place of origin', 'a town in north central Colorado; Rocky Mountains resort center and university town']}"
351,kek,kek,
