index,word,translation,tag
034239,geruineerd,ruined,WW
034240,kimble,kimble,SPEC
034241,hagrid,hagrid,N
034242,copper,copper,N
034243,cd-rom,CD,N
034244,president_kennedy,president_kennedy,N
034245,paters,fathers,N
034246,parelketting,Pearl necklace,N
034247,nugget,nugget,N
034248,inches,inches,N
034249,fregat,frigate,N
034250,bedoeÔenen,bedoeÔenen,N
034251,vikings,vikings,SPEC
034252,rama,rama,SPEC
034253,irina,irina,SPEC
034254,big_john,big_john,SPEC
034255,nantucket,nantucket,SPEC
034256,meyers,meyers,SPEC
034257,'63,'63,TW
034258,vliegeren,flying a kite,WW
034259,ziekteverwekker,pathogen,N
034260,klimmers,climbers,N
034261,geldtrein,money train,N
034262,weenie,weenie,SPEC
034263,wakefield,wakefield,SPEC
034264,towers,towers,SPEC
034265,sylvester,sylvester,SPEC
034266,parrish,parrish,SPEC
034267,paki,paki,SPEC
034268,maverick,maverick,SPEC
034269,kunta_kinte,kunta_kinte,SPEC
034270,haynes,haynes,SPEC
034271,hannelore,hannelore,SPEC
034272,gorman,gorman,SPEC
034273,figaro,figaro,SPEC
034274,chicky_hines,chicky_hines,SPEC
034275,zeldzaamste,rarest,ADJ
034276,winderige,windy,ADJ
034277,welvarende,wealthy,ADJ
034278,voorhanden,available,ADJ
034279,vlotter,float,ADJ
034280,slonzig,slovenly,ADJ
034281,rommelige,messy,ADJ
034282,overvloedige,plentiful,ADJ
034283,onvrijwillig,compulsory,ADJ
034284,onverzadigbaar,insatiable,ADJ
034285,onofficiÎle,onofficiÎle,ADJ
034286,ongecontroleerde,unchecked,ADJ
034287,ongebruikt,unused,ADJ
034288,onduidelijke,unclear,ADJ
034289,onbenullig,piddling,ADJ
034290,natuurlijks,Natural,ADJ
034291,moordzuchtig,murderous,ADJ
034292,magertjes,poorly,ADJ
034293,levensgroot,life-size,ADJ
034294,lawaaierige,noisy,ADJ
034295,langverwachte,highly anticipated,ADJ
034296,lafhartige,dastardly,ADJ
034297,huidig,current,ADJ
034298,hipste,hippest,ADJ
034299,hatelijke,invidious,ADJ
034300,hartverscheurende,heartbreaking,ADJ
034301,grootschalige,scale,ADJ
034302,grandioze,grandiose,ADJ
034303,godganse,livelong,ADJ
034304,gemeentelijke,municipal,ADJ
034305,geloofwaardiger,credible,ADJ
034306,gekwetste,wounded,ADJ
034307,gammel,rickety,ADJ
034308,eleganter,elegant,ADJ
034309,derdegraads,third degree,ADJ
034310,demente,demented,ADJ
034311,capabele,capable,ADJ
034312,banale,banal,ADJ
034313,temeer,especially,BW
034314,hieraf,"here on,",BW
034315,bovenuit,upper,BW
034316,werkt.,works.,N
034317,verloedering,degradation,N
034318,tussenpersonen,intermediaries,N
034319,trois,trois,N
034320,topklasse,top,N
034321,staatsvijand,enemy,N
034322,spierpijn,muscle strain,N
034323,snuiters,guys,N
034324,schriften,Patents,N
034325,schoolterrein,school grounds,N
034326,s'avonds,in the evening,N
034327,rottijd,rottijd,N
034328,rondte,round,N
034329,reikwijdte,range,N
034330,pennenlikkers,quill,N
034331,paart,mates,N
034332,overwinnaars,overcomers,N
034333,opstap,step,N
034334,ontgoocheling,disenchantment,N
034335,ogenschouw,consideration,N
034336,nieuwsflits,Newsflash,N
034337,nachtzoen,goodnight kiss,N
034338,lummels,louts,N
034339,linoleum,linoleum,N
034340,lieverdjes,darlings,N
034341,lievelings,favorite,N
034342,lichaamssappen,bodily fluids,N
034343,knieschijf,patella,N
034344,kattenbak,litter,N
034345,jachtpartij,hunting party,N
034346,jaartjes,more years,N
034347,gevraag,questioning,N
034348,gebeurt.,happens.,N
034349,feestelijkheden,festivities,N
034350,eenpersoonskamer,single room,N
034351,drie.,three.,N
034352,domoren,boobs,N
034353,dit.,this.,N
034354,detailhandel,retail,N
034355,databases,databases,N
034356,dagdienst,day shift,N
034357,conferenties,conferences,N
034358,boompje,tree,N
034359,afhankelijkheid,dependency,N
034360,afbraak,demolition,N
034361,aanvoer,supply,N
034362,nope,nope,SPEC
034363,grote_oceaan,Pacific,SPEC
034364,480,480,TW
034365,ertussenin,in between,VNW
034366,zadelt,Saddles,WW
034367,wijzigde,updated,WW
034368,wiebelt,wobbles,WW
034369,wegstuurde,sent away,WW
034370,weggevlucht,fled,WW
034371,weerstaat,withstands,WW
034372,warmt,heats,WW
034373,voorzetten,assists,WW
034374,voorstaat,stands,WW
034375,verwijs,referral,WW
034376,vertroosten,comfort,WW
034377,verried,betrayed,WW
034378,vermomt,disguises,WW
034379,verleer,verleer,WW
034380,veredelde,glorified,WW
034381,verdedigden,defended,WW
034382,verblijden,gladden,WW
034383,uitputten,exhaust,WW
034384,uitlevert,extradites,WW
034385,uitkwamen,came out,WW
034386,uitkramen,rave about,WW
034387,uitdrukt,expresses,WW
034388,uitbarst,erupts,WW
034389,toegeef,admit,WW
034390,terugziet,looks back,WW
034391,teruglopen,walk back,WW
034392,startten,started,WW
034393,spande,strained,WW
034394,samenspannen,conspire,WW
034395,rouwde,mourned,WW
034396,rondrijdt,drive around,WW
034397,rondgeleid,guided,WW
034398,rommelde,rummaged,WW
034399,raadpleeg,consult,WW
034400,prikkelen,excite,WW
034401,pluizen,pill,WW
034402,passeerden,passed,WW
034403,opvreet,eats,WW
034404,oplazeren,oplazeren,WW
034405,opkrikken,jacking,WW
034406,opgetut,dolled up,WW
034407,opgeklommen,ascended,WW
034408,openrijten,rip up,WW
034409,openlaten,leave open,WW
034410,opdelen,splitting,WW
034411,ontrafeld,unraveled,WW
034412,ongeplande,unplanned,WW
034413,omhooggevallen,upstart,WW
034414,omgeeft,surrounds,WW
034415,nuttigen,consume,WW
034416,nagaat,examines,WW
034417,machtigen,authorize,WW
034418,knellen,pinch,WW
034419,jankend,whining,WW
034420,interviewt,interviews,WW
034421,instemde,agreed,WW
034422,installeert,install,WW
034423,innam,took,WW
034424,ingegeven,motivated,WW
034425,iedereen.,everybody.,WW
034426,hoepelen,trundle a hoop,WW
034427,hallucineerde,hallucinated,WW
034428,gezaagd,serrated,WW
034429,gevloekt,cursed,WW
034430,gesplitst,cleaved,WW
034431,gespecialiseerde,specialized,WW
034432,gerept,mention,WW
034433,geprint,printed,WW
034434,gepijnigd,pained,WW
034435,geleken,looked,WW
034436,geklapt,folded,WW
034437,geheven,lifted,WW
034438,gediplomeerde,graduate,WW
034439,gedefinieerd,defined,WW
034440,gebotst,collided,WW
034441,gealarmeerd,alarmed,WW
034442,flikflooien,wheedle,WW
034443,fileren,filleting,WW
034444,feliciteert,congratulates,WW
034445,doorgelezen,read,WW
034446,doceerde,taught,WW
034447,deelneemt,participates,WW
034448,binnenvielen,invaded,WW
034449,binnenviel,invaded,WW
034450,bijgewerkt,updated,WW
034451,bevolken,populate,WW
034452,besloop,stalked,WW
034453,beschikte,possession,WW
034454,beoogde,target,WW
034455,bekommerd,solicitous,WW
034456,bekokstoofd,concocted,WW
034457,befaamd,renowned,WW
034458,afbrandde,burned,WW
034459,achterlatend,leaving,WW
034460,aanziet,looketh,WW
034461,aanwaaien,be carried by wind,WW
034462,aantoont,shows,WW
034463,aanboden,offered,WW
034464,mensenlief,people love,ADJ
034465,zilverkleurig,silver-colored,ADJ
034466,vreugdevolle,joyous,ADJ
034467,vooringenomen,biased,ADJ
034468,soevereine,sovereign,ADJ
034469,schadelijke,adverse,ADJ
034470,ongeschoolde,uneducated,ADJ
034471,onderdanige,submissive,ADJ
034472,onbuigzaam,inflexible,ADJ
034473,onbeheerd,unattended,ADJ
034474,moedwillig,wantonly,ADJ
034475,lijp,sharpening,ADJ
034476,lijdzaam,patient,ADJ
034477,kunstzinnig,artfully,ADJ
034478,kleurloos,colorless,ADJ
034479,kerkelijk,ecclesiastical,ADJ
034480,hoerig,whorish,ADJ
034481,grafisch,graphic,ADJ
034482,gewichtloos,weightless,ADJ
034483,gewichtige,weighty,ADJ
034484,gevederde,feathered,ADJ
034485,fortuinlijk,lucky,ADJ
034486,etnisch,ethnical,ADJ
034487,cognitieve,cognitive,ADJ
034488,bevlogen,inspired,ADJ
034489,4de,4th,ADJ
034490,weleer,formerly,BW
034491,eergisteravond,night before,BW
034492,scheuring,rupture,N
034493,pancreas,pancreas,N
034494,nosferatu,nosferatu,N
034495,ultraviolet,ultraviolet,N
034496,tomahawk,tomahawk,N
034497,shotje,shot of,N
034498,runderen,oxen,N
034499,peetzoon,godson,N
034500,ozon,ozone,N
034501,diskettes,diskettes,N
034502,corridor,corridor,N
034503,bimbo,bimbo,N
034504,betogers,protesters,N
034505,abrikozen,apricots,N
034506,zwaailicht,beacon,N
034507,zijstraat,side street,N
034508,zieltjes,souls,N
034509,zakenmannen,businessmen,N
034510,wodka-tonic,vodka tonic,N
034511,wiegje,crib,N
034512,wasmachines,washing machines,N
034513,vuilcontainer,dumpster,N
034514,vogelvrije,outlaw,N
034515,vestiging,settlement,N
034516,versnellingspook,gear stick,N
034517,vaarwater,waterway,N
034518,understatement,understatement,N
034519,topadvocaat,top lawyer,N
034520,tafelmanieren,table manners,N
034521,spaak,spoke,N
034522,schiettent,shooting gallery,N
034523,schietschijven,targets,N
034524,saaiheid,dullness,N
034525,routineklus,routine job,N
034526,rijders,riders,N
034527,reuzel,lard,N
034528,radioprogramma,radio show,N
034529,postuum,posthumously,N
034530,ornaat,ornate,N
034531,oorlogsmisdadiger,war criminal,N
034532,ommezwaai,turnaround,N
034533,nervositeit,nervousness,N
034534,motorpech,engine trouble,N
034535,moedermelk,breastmilk,N
034536,midwest,midwest,N
034537,meubelstuk,furniture,N
034538,metro's,subways,N
034539,mamma's,moms,N
034540,kringetjes,circles,N
034541,klnderen,klnderen,N
034542,kledingzaak,clothes store,N
034543,kernraketten,nuclear missiles,N
034544,je-weet-wel-wie,you know who,N
034545,jaap,Jaap,N
034546,internist,internist,N
034547,iemand's,someone's,N
034548,hoogtij,rampant,N
034549,herschrijf,rewrite,N
034550,hematoom,hematoma,N
034551,handelsreiziger,commercial,N
034552,haarborstel,hairbrush,N
034553,gevangenisdirecteur,warden,N
034554,gesel,scourge,N
034555,genezingsproces,healing,N
034556,geleider,conductor,N
034557,gegeseld,scourged,N
034558,gang.,corridor.,N
034559,eigendomsakte,Title Deeds,N
034560,drijfhout,driftwood,N
034561,diepvriezer,freezer,N
034562,dienstwapen,service weapon,N
034563,danspassen,dance steps,N
034564,configuratie,configuration,N
034565,citadel,citadel,N
034566,briefpapier,writing paper,N
034567,brandjes,fires,N
034568,bepakking,pack,N
034569,beginnelingen,beginners,N
034570,beginne,beginning,N
034571,afstraffing,beating,N
034572,afluisterapparaat,listening device,N
034573,aanvraagformulier,request form,N
034574,leonidas,leonidas,SPEC
034575,jerri,jerri,SPEC
034576,nummer_twee,number two,SPEC
034577,k2,k2,SPEC
034578,drebin,Drebin,SPEC
034579,spectre,specter,SPEC
034580,rosalind,rosalind,SPEC
034581,riga,riga,SPEC
034582,dahlia,dahlia,SPEC
034583,milliken,milliken,SPEC
034584,ewing,ewing,SPEC
034585,adelaide,adelaide,SPEC
034586,shiva,shiva,SPEC
034587,rosenberg,rosenberg,SPEC
034588,robbins,robbins,SPEC
034589,heidelberg,heidelberg,SPEC
034590,guantanamo_bay,guantanamo_bay,SPEC
034591,drummond,drummond,SPEC
034592,bristow,bristow,SPEC
034593,vassar,vassar,SPEC
034594,oh_jezus,oh_jezus,SPEC
034595,matisse,matisse,SPEC
034596,grover,grover,SPEC
034597,jeez,jeez,SPEC
034598,hoboken,hoboken,SPEC
034599,haute,haute,SPEC
034600,alter_ego,alter_ego,SPEC
034601,aju,aju,TSW
034602,5de,5th,TW
034603,342,342,TW
034604,321,321,TW
034605,24e,24th,TW
034606,1929,1929,TW
034607,167,167,TW
034608,165,165,TW
034609,wringt,wrings,WW
034610,wegvaren,sail away,WW
034611,voorrijden,for driving,WW
034612,verkrijgt,obtains,WW
034613,verdedigend,Defensive,WW
034614,vasthielden,clung,WW
034615,uitvogelen,figure out,WW
034616,uitgeruste,equipped,WW
034617,torpederen,torpedo,WW
034618,starende,staring,WW
034619,solliciteer,apply for a job,WW
034620,schaven,shave,WW
034621,proberend,trying,WW
034622,onttrokken,removed,WW
034623,onthaald,welcomed,WW
034624,leegstaand,empty,WW
034625,inlevert,surrenders,WW
034626,hunkeren,yearn,WW
034627,grinniken,snigger,WW
034628,geÔnspecteerd,geÔnspecteerd,WW
034629,gezwaaid,waved,WW
034630,getoverd,waved,WW
034631,gereanimeerd,reanimated,WW
034632,gepokerd,played poker,WW
034633,escorteer,escort,WW
034634,doordrongen,permeated,WW
034635,dineert,dine,WW
034636,dichtgetimmerd,boarded up,WW
034637,bijeengeroepen,convened,WW
034638,bezeerde,hurt,WW
034639,bewandeld,hiked,WW
034640,benadeeld,disadvantaged,WW
034641,behoedt,saves,WW
034642,afgewend,averted,WW
034643,aborteren,abort,WW
034644,aanspannen,Tighten,WW
034645,aanranden,assault,WW
034646,optisch,optical,ADJ
034647,onprettige,unpleasant,ADJ
034648,nukkig,crotchety,ADJ
034649,geÎmancipeerd,geÎmancipeerd,ADJ
034650,doodgeboren,stillborn,ADJ
034651,denderend,smash,ADJ
034652,mr_hyde,mr_hyde,N
034653,wildeman,wildeman,N
034654,wapenhandelaars,dealers,N
034655,vleet,skate,N
034656,vechtsport,martial arts,N
034657,telefonist,operator,N
034658,takje,twig,N
034659,supercomputer,supercomputer,N
034660,stripfiguur,cartoon character,N
034661,sterrenbeelden,star signs,N
034662,spaken,spokes,N
034663,schoonheidskoningin,beauty queen,N
034664,schietijzer,popper,N
034665,runs,runs,N
034666,rivierkreeft,crayfish,N
034667,residu,residue,N
034668,remake,remake,N
034669,pof,puff,N
034670,pluimvee,poultry,N
034671,plons,splash,N
034672,paranoÔa,paranoÔa,N
034673,ouwelui,old folks,N
034674,oorlogsmachine,war machine,N
034675,nieuwjaarsdag,New Year's Day,N
034676,mmmm,mmmm,N
034677,luchtzak,air pocket,N
034678,lolly's,lollipops,N
034679,levensmiddelen,foodstuff,N
034680,landingsplek,landing place,N
034681,kwaadaardigheid,malice,N
034682,krachtmeting,showdown,N
034683,km-uur,km-h,N
034684,informatica,Informatics,N
034685,horlogemaker,watchmaker,N
034686,generators,generators,N
034687,gasbedrijf,gas plant,N
034688,erwtensoep,split pea soup,N
034689,erfstukken,heirlooms,N
034690,driewerf,thrice,N
034691,dodenlijst,obituary,N
034692,desserts,desserts,N
034693,cowgirl,cowgirl,N
034694,continu¸m,Continum,N
034695,component,component,N
034696,boordje,collar,N
034697,alarmcode,alarm code,N
034698,acts,acts,N
034699,acne,acne,N
034700,achterpoten,hindlimbs,N
034701,verenigd_koninkrijk,United Kingdom,SPEC
034702,oldsmobile,oldsmobile,SPEC
034703,north_dakota,North_Dakota,SPEC
034704,manchester_united,manchester_united,SPEC
034705,hyde_park,hyde_park,SPEC
034706,elpiedro,elpiedro,SPEC
034707,donald_duck,Donald Duck,SPEC
034708,anaconda,anaconda,SPEC
034709,410,410,TW
034710,2:30,2:30,TW
034711,13,13,TW
034712,ter_hoogte_van,at the height of,VZ
034713,wenkt,beckons,WW
034714,loeien,moo,WW
034715,inrijden,run in,WW
034716,gestresseerd,stressed,WW
034717,gestressed,stressed,WW
034718,gescalpeerd,scalped,WW
034719,dralen,delay,WW
034720,damet,damet,WW
034721,betonen,show,WW
034722,stitch,stitch,SPEC
034723,slaapverwekkend,somnolent,ADJ
034724,katachtige,feline,ADJ
034725,pancakes,pancakes,N
034726,naschok,aftershock,N
034727,koorden,cords,N
034728,eunice,eunice,N
034729,bags,bags,N
034730,vrijgezellenfeestje,hen party,N
034731,vossenjacht,foxhound,N
034732,trouwringen,wedding rings,N
034733,staakt-het-vuren,ceasefire,N
034734,specht,woodpecker,N
034735,smokings,tuxedos,N
034736,sloperij,scrapyard,N
034737,slavenhandelaar,slaver,N
034738,satanisten,Satanists,N
034739,proefwerken,exams,N
034740,planner,planner,N
034741,oploskoffie,instant coffee,N
034742,matinee,matinee,N
034743,kruidenierszaak,grocery,N
034744,knevel,mustache,N
034745,kamillethee,chamomile tea,N
034746,goodwill,goodwill,N
034747,goedzak,softy,N
034748,g's,g's,N
034749,fokker,breeder,N
034750,doodkist,coffin,N
034751,dildo's,dildos,N
034752,cv's,CVs,N
034753,bet,bet,N
034754,benden,bands,N
034755,bankschroef,vise,N
034756,armpje,arm,N
034757,toetanchamon,toetanchamon,SPEC
034758,paulina,paulina,SPEC
034759,george_king,george_king,SPEC
034760,donkey,donkey,SPEC
034761,cullen,cullen,SPEC
034762,rachid,rachid,SPEC
034763,picard,picard,SPEC
034764,meadow,meadow,SPEC
034765,masterson,masterson,SPEC
034766,koster,sexton,SPEC
034767,gonzo,gonzo,SPEC
034768,d.j.,D.J.,SPEC
034769,anzio,anzio,SPEC
034770,woody_allen,woody_allen,SPEC
034771,vanity_fair,vanity_fair,SPEC
034772,tac,tac,SPEC
034773,sing_sing,sing_sing,SPEC
034774,siciliaan,Sicilian,SPEC
034775,koning_arthur,koning_arthur,SPEC
034776,jurassic_park,jurassic_park,SPEC
034777,john_f,john_f,SPEC
034778,fifth,fifth,SPEC
034779,cole_porter,cole_porter,SPEC
034780,barry_manilow,barry_manilow,SPEC
034781,aboriginals,aborigines,SPEC
034782,20.000,"20,000",TW
034783,154,154,TW
034784,ontladen,discharge,WW
034785,conserveren,conserve,WW
034786,schimmelinfectie,fungal infection,N
034787,priemgetal,prime number,N
034788,meltdown,meltdown,N
034789,lwo,LWO,N
034790,handstand,handstand,N
034791,cyste,cyst,N
034792,bikers,bikers,N
034793,pilgrim,nomad,SPEC
034794,massive_dynamic,massive_dynamic,SPEC
034795,grayson,grayson,SPEC
034796,dutton,dutton,SPEC
034797,croft,croft,SPEC
034798,beagle,beagle,SPEC
034799,apachen,Apaches,SPEC
034800,yvette,yvette,SPEC
034801,paloma,paloma,SPEC
034802,left,left,SPEC
034803,cartwright,cartwright,SPEC
034804,goeieavond,good evening,ADJ
034805,tray,tray,N
034806,rentmeester,steward,N
034807,pups,puppies,N
034808,pie,pie,N
034809,misdaadplek,crime scene,N
034810,ljs,ljs,N
034811,godslasteraar,blasphemer,N
034812,flipperkast,pinball,N
034813,dummy,dummy,N
034814,creme,cream,N
034815,bosbessentaart,Blue berry pie,N
034816,anthrax,anthrax,N
034817,kirsty,kirsty,SPEC
034818,char,char,SPEC
034819,benjy,benjy,SPEC
034820,beans,beans,SPEC
034821,bannister,bannister,SPEC
034822,triades,triads,SPEC
034823,markus,markus,SPEC
034824,lggy,lggy,SPEC
034825,halloran,Halloran,SPEC
034826,grand_prix,grand_prix,SPEC
034827,daly,daly,SPEC
034828,wal-mart,Wal-mart,SPEC
034829,sugar_ray,sugar_ray,SPEC
034830,oedipus,Oedipus,SPEC
034831,mr._harris,mr._harris,SPEC
034832,mckenzie,Mckenzie,SPEC
034833,friday,friday,SPEC
034834,ferdinand,ferdinand,SPEC
034835,department,department,SPEC
034836,u-boot,u-boat,N
034837,bestelauto,vans,N
034838,carol_anne,carol_anne,SPEC
034839,barrie,barrie,SPEC
034840,tilly,tilly,SPEC
034841,racine,racine,SPEC
034842,pinot,pinot,SPEC
034843,peck,peck,SPEC
034844,nelly,nelly,SPEC
034845,levi,Levi,SPEC
034846,janis,janis,SPEC
034847,fredericks,Fredericks,SPEC
034848,daytona,daytona,SPEC
034849,carmichael,carmichael,SPEC
034850,brian's,brian's,SPEC
034851,brenner,brenner,SPEC
034852,mead,mead,WW
034853,vermeend,supposed,ADJ
034854,watermeloenen,watermelons,N
034855,waterbron,water source,N
034856,wapensystemen,weapon,N
034857,step,scooter,N
034858,roedel,flock,N
034859,proletariaat,proletariat,N
034860,ouderlingen,elders,N
034861,onvrede,discontent,N
034862,ontvangers,receivers,N
034863,markering,mark,N
034864,kwantum,quantum,N
034865,conditioner,conditioner,N
034866,chemokuur,chemotherapy,N
034867,chaperon,chaperone,N
034868,p.r.,P.R.,SPEC
034869,ontario,ontario,SPEC
034870,mr._collins,mr._collins,SPEC
034871,mercedessen,mercedes,SPEC
034872,lee_harvey_oswald,lee_harvey_oswald,SPEC
034873,jezebel,Jezebel,SPEC
034874,halle_berry,halle_berry,SPEC
034875,gross,gross,SPEC
034876,goethe,goethe,SPEC
034877,fedex,fedex,SPEC
034878,fancy,fancy,SPEC
034879,downing_street,downing_street,SPEC
034880,coventry,Coventry,SPEC
034881,bungee,bungee,SPEC
034882,bridgeport,bridgeport,SPEC
034883,anchorage,anchorage,SPEC
034884,anaheim,anaheim,SPEC
034885,625,625,TW
034886,231,231,TW
034887,mr._hornblower,mr._hornblower,SPEC
034888,templeton,templeton,SPEC
034889,caterina,caterina,SPEC
034890,bench,bench,SPEC
034891,zuidwestelijke,southwesterly,ADJ
034892,wollige,woolly,ADJ
034893,welwillende,benevolent,ADJ
034894,voorbijgaande,transient,ADJ
034895,toenmalige,former,ADJ
034896,tjokvol,chock-full,ADJ
034897,therapeutische,therapeutic,ADJ
034898,territoriaal,territorial,ADJ
034899,terechte,justified,ADJ
034900,supersterk,superstrong,ADJ
034901,stekeblind,stone-blind,ADJ
034902,spotgoedkoop,dirt cheap,ADJ
034903,ridderlijk,chivalrous,ADJ
034904,plausibel,plausible,ADJ
034905,pijnig,torment,ADJ
034906,opruiende,seditious,ADJ
034907,ontzagwekkend,awesome,ADJ
034908,onbevooroordeeld,non judgmental,ADJ
034909,moederlijke,motherly,ADJ
034910,miraculeus,miraculously,ADJ
034911,minuscule,tiny,ADJ
034912,middelgrote,medium,ADJ
034913,luguber,lugubrious,ADJ
034914,lichtbruin,light brown,ADJ
034915,levends,alive,ADJ
034916,leukst,Most fun,ADJ
034917,leesbaar,readable,ADJ
034918,kurkdroog,bone-dry,ADJ
034919,intiems,intimate,ADJ
034920,humeurige,moody,ADJ
034921,herkenbare,recognizable,ADJ
034922,harmonieus,harmoniously,ADJ
034923,hardwerkend,hardworking,ADJ
034924,handtastelijk,Paws,ADJ
034925,halfbakken,half-baked,ADJ
034926,geniepig,dastardly,ADJ
034927,geharde,cured,ADJ
034928,freudiaanse,Freudian,ADJ
034929,feilloos,faultlessly,ADJ
034930,extravagante,extravagant,ADJ
034931,epileptische,epileptic,ADJ
034932,doodongelukkig,unhappy,ADJ
034933,dolverliefd,madly in love,ADJ
034934,bezwete,sweaty,ADJ
034935,betreurenswaardige,deplorable,ADJ
034936,bazige,bossy,ADJ
034937,veelal,often,BW
034938,geenszins,in no way,BW
034939,zwerfster,planet,N
034940,zelfmoordpogingen,suicide attempts,N
034941,westzijde,west side,N
034942,weder,weather,N
034943,webcam,webcam,N
034944,wachttoren,watchtower,N
034945,vocabulaire,vocabulary,N
034946,verwondering,wonder,N
034947,verwezenlijking,realization,N
034948,vervorming,deformation,N
034949,verdovingsmiddel,anesthetic,N
034950,veiligheidszone,security zone,N
034951,vechtmachine,fighting machine,N
034952,vaklui,professionals,N
034953,vakantiedagen,holidays,N
034954,tweedracht,discord,N
034955,toekomstplannen,future plans,N
034956,tipje,tip,N
034957,sympathisanten,supporters,N
034958,streling,caress,N
034959,straatjes,streets,N
034960,stinkerds,bastards,N
034961,snoetje,snoetje,N
034962,sinaasappelen,oranges,N
034963,schedelbreuk,cranial fracture,N
034964,schaarste,shortage,N
034965,rotland,Rotland,N
034966,rotje,firecracker,N
034967,roereieren,scrambled eggs,N
034968,regeringsgebouw,Government building,N
034969,patholoog-anatoom,pathologist,N
034970,overlevering,tradition,N
034971,oogsttijd,harvest time,N
034972,onbeleefdheid,incivility,N
034973,naamkaartje,name tag,N
034974,motorbende,motorcycle gang,N
034975,mond-op-mond,mouth to mouth,N
034976,molecuul,molecule,N
034977,melodrama,melodrama,N
034978,machthebbers,power,N
034979,maandje,month or,N
034980,lomperd,twerp,N
034981,logies,lodging,N
034982,lades,drawers,N
034983,koosnaampje,nickname,N
034984,kletspraatjes,gossip,N
034985,kleerscheuren,one piece,N
034986,kerstcadeautjes,Christmas presents,N
034987,karbonade,chop,N
034988,karaktertrek,trait,N
034989,kabeltelevisie,cable television,N
034990,jewelste,buzzing,N
034991,invoer,input,N
034992,inlichtingendiensten,intelligence,N
034993,ijsmachine,freezer,N
034994,huizenmarkt,housing market,N
034995,hoornvlies,cornea,N
034996,hoerenloper,whore runner,N
034997,heldhaftigheid,heroism,N
034998,grondlegger,founder,N
034999,granaatscherven,shrapnel,N
035000,godheid,deity,N
035001,glasscherven,cullet,N
035002,giswerk,guesswork,N
035003,gerotzooi,messing around,N
035004,gedachtelezer,mind reader,N
035005,gasleiding,gas main,N
035006,familiegeschiedenis,family history,N
035007,doodsteek,deathblow,N
035008,dieptepunten,lows,N
035009,buitenlijn,dial,N
035010,blazer,blower,N
035011,biotechnologie,biotechnology,N
035012,bijrijder,passenger,N
035013,belastingaangifte,tax return,N
035014,barbecuesaus,Barbecue sauce,N
035015,achtereind,backside,N
035016,aansporing,incentive,N
035017,24-uurs,24 hour,N
035018,malachi,malachi,SPEC
035019,toverschool,magic school,SPEC
035020,kristina,kristina,SPEC
035021,john_gotti,john_gotti,SPEC
035022,cuthbert,cuthbert,SPEC
035023,columbine,Columbine,SPEC
035024,amin,amine,SPEC
035025,unbeatable-union,unbeatable-union,SPEC
035026,timen,timing,SPEC
035027,sixth,sixth,SPEC
035028,r&amp;b,R &amp; B,SPEC
035029,exodus,Exodus,SPEC
035030,8th,8th,SPEC
035031,verenlgde,verenlgde,TW
035032,7,7,TW
035033,168,168,TW
035034,van_het_lijf,van_het_lijf,VZ
035035,weghaal,take away,WW
035036,wegglippen,sneaking out,WW
035037,wappert,flutters,WW
035038,waarneemt,perceives,WW
035039,voortbrengt,produces,WW
035040,verziek,verziek,WW
035041,verstikkend,stifling,WW
035042,verspreidden,spread,WW
035043,versleuteld,encrypted,WW
035044,verschoten,faded,WW
035045,verneemt,hears,WW
035046,verlinkte,linked sites,WW
035047,verkleint,decreases,WW
035048,verfijnen,refine,WW
035049,uitziend,looking,WW
035050,uitgroeien,grow out,WW
035051,uitgetest,tested,WW
035052,uitgespuugd,spat,WW
035053,uitgeprint,printed,WW
035054,tlen,Tlen,WW
035055,stroomden,flocking,WW
035056,strekte,stretched,WW
035057,spoten,injected,WW
035058,smachtend,languishing,WW
035059,schminken,face painting,WW
035060,rillen,shiver,WW
035061,prefereren,prefer,WW
035062,plundert,plunder,WW
035063,overslaat,spillway,WW
035064,overreed,ran over,WW
035065,opzwellen,bulge,WW
035066,oppeppen,pep,WW
035067,opgedeeld,divided,WW
035068,omzeild,bypassed,WW
035069,omvatten,include,WW
035070,omlegt,rearranged,WW
035071,ogen.,eyes.,WW
035072,nietsdoen,do nothing,WW
035073,meldden,reported,WW
035074,langslopen,walking by,WW
035075,lachen.,laugh.,WW
035076,kortsluiten,shorting,WW
035077,kloppende,beating,WW
035078,klamp,bracket,WW
035079,kalksteen,limestone,WW
035080,inwrijven,rub in,WW
035081,intrapt,depress,WW
035082,inneem,intake,WW
035083,injagen,prop,WW
035084,ingelost,redeemed,WW
035085,implanteren,implanting,WW
035086,hertrouwde,remarried,WW
035087,getransformeerd,transformed,WW
035088,gereduceerd,reduced,WW
035089,geprotesteerd,protested,WW
035090,geprobeert,tried,WW
035091,gepleit,advocated,WW
035092,geisoleerd,isolated,WW
035093,geformuleerd,formulated,WW
035094,gedaagd,defendant,WW
035095,geciteerd,cited,WW
035096,floreren,prosper,WW
035097,douchte,showered,WW
035098,delegeren,delegate,WW
035099,concurrerende,competitive,WW
035100,bÈnt,Bent,WW
035101,buitenzetten,put out,WW
035102,borrelt,bubbles,WW
035103,bombardeert,bombs,WW
035104,binnengeslopen,crept,WW
035105,bijgebleven,stuck,WW
035106,bewaakten,guarded,WW
035107,bestormd,stormed,WW
035108,beroeren,touch,WW
035109,belagen,waylay,WW
035110,beinvloed,affected,WW
035111,afhaal,takeaway,WW
